merge_key,id,date,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalHoursAsleep
4319703577_2016-04-18,4319703577,4/18/2016,1,515,551,8.583333333
4319703577_2016-04-19,4319703577,4/19/2016,2,461,498,7.683333333
4319703577_2016-04-20,4319703577,4/20/2016,1,523,543,8.716666667
4319703577_2016-04-21,4319703577,4/21/2016,1,59,65,0.9833333333
4319703577_2016-04-22,4319703577,4/22/2016,1,533,550,8.883333333
4319703577_2016-04-23,4319703577,4/23/2016,1,692,722,11.53333333
4319703577_2016-04-24,4319703577,4/24/2016,1,467,501,7.783333333
4319703577_2016-04-25,4319703577,4/25/2016,1,488,506,8.133333333
4319703577_2016-04-26,4319703577,4/26/2016,1,505,516,8.416666667
4319703577_2016-04-27,4319703577,4/27/2016,1,286,307,4.766666667
4319703577_2016-04-28,4319703577,4/28/2016,1,497,522,8.283333333
4319703577_2016-04-29,4319703577,4/29/2016,1,523,546,8.716666667
4319703577_2016-04-30,4319703577,4/30/2016,1,490,516,8.166666667
4319703577_2016-05-01,4319703577,5/1/2016,1,484,500,8.066666667
4319703577_2016-05-02,4319703577,5/2/2016,1,478,506,7.966666667
4319703577_2016-05-03,4319703577,5/3/2016,1,474,512,7.9
4319703577_2016-05-06,4319703577,5/6/2016,1,450,491,7.5
4319703577_2016-05-07,4319703577,5/7/2016,1,507,530,8.45
4319703577_2016-05-08,4319703577,5/8/2016,1,602,638,10.03333333
4319703577_2016-05-09,4319703577,5/9/2016,1,535,565,8.916666667
4319703577_2016-05-10,4319703577,5/10/2016,1,487,517,8.116666667
4319703577_2016-05-11,4319703577,5/11/2016,1,529,558,8.816666667
4319703577_2016-05-12,4319703577,5/12/2016,1,302,321,5.033333333
4388161847_2016-04-15,4388161847,4/15/2016,1,499,526,8.316666667
4388161847_2016-04-16,4388161847,4/16/2016,2,426,448,7.1
4388161847_2016-04-17,4388161847,4/17/2016,2,619,641,10.31666667
4388161847_2016-04-18,4388161847,4/18/2016,1,99,104,1.65
4388161847_2016-04-19,4388161847,4/19/2016,1,329,338,5.483333333
4388161847_2016-04-20,4388161847,4/20/2016,1,421,451,7.016666667
4388161847_2016-04-21,4388161847,4/21/2016,1,442,458,7.366666667
4388161847_2016-04-22,4388161847,4/22/2016,1,82,85,1.366666667
4388161847_2016-04-23,4388161847,4/23/2016,1,478,501,7.966666667
4388161847_2016-04-24,4388161847,4/24/2016,3,552,595,9.2
4388161847_2016-04-26,4388161847,4/26/2016,1,319,346,5.316666667
4388161847_2016-04-27,4388161847,4/27/2016,1,439,500,7.316666667
4388161847_2016-04-28,4388161847,4/28/2016,1,428,458,7.133333333
4388161847_2016-04-30,4388161847,4/30/2016,2,409,430,6.816666667
4388161847_2016-05-01,4388161847,5/1/2016,1,547,597,9.116666667
4388161847_2016-05-02,4388161847,5/2/2016,2,368,376,6.133333333
4388161847_2016-05-04,4388161847,5/4/2016,1,390,414,6.5
4388161847_2016-05-05,4388161847,5/5/2016,1,471,495,7.85
4388161847_2016-05-05,4388161847,5/5/2016,1,471,495,7.85
4388161847_2016-05-07,4388161847,5/7/2016,1,472,496,7.866666667
4388161847_2016-05-08,4388161847,5/8/2016,2,529,541,8.816666667
4388161847_2016-05-09,4388161847,5/9/2016,1,62,65,1.033333333
4388161847_2016-05-10,4388161847,5/10/2016,1,354,375,5.9
4388161847_2016-05-11,4388161847,5/11/2016,1,469,494,7.816666667
4445114986_2016-04-12,4445114986,4/12/2016,2,429,457,7.15
4445114986_2016-04-13,4445114986,4/13/2016,2,370,406,6.166666667
4445114986_2016-04-14,4445114986,4/14/2016,1,441,492,7.35
4445114986_2016-04-15,4445114986,4/15/2016,2,337,379,5.616666667
4445114986_2016-04-16,4445114986,4/16/2016,1,462,499,7.7
4445114986_2016-04-17,4445114986,4/17/2016,1,98,107,1.633333333
4445114986_2016-04-19,4445114986,4/19/2016,2,388,424,6.466666667
4445114986_2016-04-20,4445114986,4/20/2016,1,439,462,7.316666667
4445114986_2016-04-21,4445114986,4/21/2016,1,436,469,7.266666667
4445114986_2016-04-22,4445114986,4/22/2016,1,388,417,6.466666667
4445114986_2016-04-25,4445114986,4/25/2016,1,328,345,5.466666667
4445114986_2016-04-26,4445114986,4/26/2016,2,353,391,5.883333333
4445114986_2016-04-27,4445114986,4/27/2016,1,332,374,5.533333333
4445114986_2016-04-28,4445114986,4/28/2016,1,419,442,6.983333333
4445114986_2016-04-29,4445114986,4/29/2016,1,106,108,1.766666667
4445114986_2016-04-30,4445114986,4/30/2016,1,322,353,5.366666667
4445114986_2016-05-01,4445114986,5/1/2016,2,439,459,7.316666667
4445114986_2016-05-02,4445114986,5/2/2016,1,502,542,8.366666667
4445114986_2016-05-03,4445114986,5/3/2016,2,417,450,6.95
4445114986_2016-05-04,4445114986,5/4/2016,2,337,363,5.616666667
4445114986_2016-05-05,4445114986,5/5/2016,2,462,513,7.7
4445114986_2016-05-06,4445114986,5/6/2016,2,374,402,6.233333333
4445114986_2016-05-07,4445114986,5/7/2016,2,401,436,6.683333333
4445114986_2016-05-08,4445114986,5/8/2016,1,361,391,6.016666667
4445114986_2016-05-09,4445114986,5/9/2016,1,457,533,7.616666667
4445114986_2016-05-10,4445114986,5/10/2016,1,405,426,6.75
4445114986_2016-05-11,4445114986,5/11/2016,1,499,530,8.316666667
4445114986_2016-05-12,4445114986,5/12/2016,1,483,501,8.05
4558609924_2016-04-21,4558609924,4/21/2016,1,126,137,2.1
4558609924_2016-04-26,4558609924,4/26/2016,1,103,121,1.716666667
4558609924_2016-04-29,4558609924,4/29/2016,1,171,179,2.85
4558609924_2016-05-01,4558609924,5/1/2016,1,115,129,1.916666667
4558609924_2016-05-08,4558609924,5/8/2016,1,123,134,2.05
4702921684_2016-04-12,4702921684,4/12/2016,1,425,439,7.083333333
4702921684_2016-04-13,4702921684,4/13/2016,2,400,430,6.666666667
4702921684_2016-04-14,4702921684,4/14/2016,1,384,415,6.4
4702921684_2016-04-15,4702921684,4/15/2016,1,253,257,4.216666667
4702921684_2016-04-16,4702921684,4/16/2016,2,382,406,6.366666667
4702921684_2016-04-17,4702921684,4/17/2016,1,591,612,9.85
4702921684_2016-04-18,4702921684,4/18/2016,1,293,312,4.883333333
4702921684_2016-04-19,4702921684,4/19/2016,1,457,487,7.616666667
4702921684_2016-04-20,4702921684,4/20/2016,1,454,468,7.566666667
4702921684_2016-04-21,4702921684,4/21/2016,1,425,434,7.083333333
4702921684_2016-04-23,4702921684,4/23/2016,1,465,475,7.75
4702921684_2016-04-24,4702921684,4/24/2016,1,480,506,8
4702921684_2016-04-25,4702921684,4/25/2016,1,370,380,6.166666667
4702921684_2016-04-26,4702921684,4/26/2016,1,421,429,7.016666667
4702921684_2016-04-27,4702921684,4/27/2016,1,432,449,7.2
4702921684_2016-04-28,4702921684,4/28/2016,1,442,461,7.366666667
4702921684_2016-04-29,4702921684,4/29/2016,1,433,447,7.216666667
4702921684_2016-04-30,4702921684,4/30/2016,1,479,501,7.983333333
4702921684_2016-05-03,4702921684,5/3/2016,1,327,373,5.45
4702921684_2016-05-04,4702921684,5/4/2016,1,412,434,6.866666667
4702921684_2016-05-05,4702921684,5/5/2016,1,414,428,6.9
4702921684_2016-05-06,4702921684,5/6/2016,1,404,449,6.733333333
4702921684_2016-05-07,4702921684,5/7/2016,1,520,543,8.666666667
4702921684_2016-05-07,4702921684,5/7/2016,1,520,543,8.666666667
4702921684_2016-05-09,4702921684,5/9/2016,1,435,458,7.25
4702921684_2016-05-10,4702921684,5/10/2016,1,416,431,6.933333333
4702921684_2016-05-11,4702921684,5/11/2016,1,354,366,5.9
4702921684_2016-05-12,4702921684,5/12/2016,1,404,442,6.733333333
5553957443_2016-04-12,5553957443,4/12/2016,1,441,464,7.35
5553957443_2016-04-13,5553957443,4/13/2016,2,455,488,7.583333333
5553957443_2016-04-14,5553957443,4/14/2016,1,357,418,5.95
5553957443_2016-04-15,5553957443,4/15/2016,1,377,409,6.283333333
5553957443_2016-04-16,5553957443,4/16/2016,2,651,686,10.85
5553957443_2016-04-17,5553957443,4/17/2016,1,350,402,5.833333333
5553957443_2016-04-18,5553957443,4/18/2016,2,520,541,8.666666667
5553957443_2016-04-19,5553957443,4/19/2016,1,357,410,5.95
5553957443_2016-04-20,5553957443,4/20/2016,1,658,678,10.96666667
5553957443_2016-04-21,5553957443,4/21/2016,1,399,431,6.65
5553957443_2016-04-22,5553957443,4/22/2016,1,322,353,5.366666667
5553957443_2016-04-23,5553957443,4/23/2016,2,631,725,10.51666667
5553957443_2016-04-24,5553957443,4/24/2016,2,553,640,9.216666667
5553957443_2016-04-25,5553957443,4/25/2016,1,433,468,7.216666667
5553957443_2016-04-26,5553957443,4/26/2016,1,412,453,6.866666667
5553957443_2016-04-27,5553957443,4/27/2016,1,347,391,5.783333333
5553957443_2016-04-28,5553957443,4/28/2016,1,421,457,7.016666667
5553957443_2016-04-29,5553957443,4/29/2016,1,450,495,7.5
5553957443_2016-04-30,5553957443,4/30/2016,2,775,843,12.91666667
5553957443_2016-05-01,5553957443,5/1/2016,2,622,686,10.36666667
5553957443_2016-05-02,5553957443,5/2/2016,1,409,471,6.816666667
5553957443_2016-05-03,5553957443,5/3/2016,1,380,429,6.333333333
5553957443_2016-05-04,5553957443,5/4/2016,1,447,470,7.45
5553957443_2016-05-05,5553957443,5/5/2016,1,419,464,6.983333333
5553957443_2016-05-06,5553957443,5/6/2016,1,400,434,6.666666667
5553957443_2016-05-07,5553957443,5/7/2016,1,442,470,7.366666667
5553957443_2016-05-08,5553957443,5/8/2016,1,568,608,9.466666667
5553957443_2016-05-09,5553957443,5/9/2016,1,453,494,7.55
5553957443_2016-05-10,5553957443,5/10/2016,1,418,443,6.966666667
5553957443_2016-05-11,5553957443,5/11/2016,1,463,486,7.716666667
5553957443_2016-05-12,5553957443,5/12/2016,1,438,475,7.3
5577150313_2016-04-12,5577150313,4/12/2016,1,419,438,6.983333333
5577150313_2016-04-13,5577150313,4/13/2016,1,432,458,7.2
5577150313_2016-04-14,5577150313,4/14/2016,1,477,497,7.95
5577150313_2016-04-15,5577150313,4/15/2016,1,392,413,6.533333333
5577150313_2016-04-16,5577150313,4/16/2016,1,406,445,6.766666667
5577150313_2016-04-17,5577150313,4/17/2016,1,549,583,9.15
5577150313_2016-04-18,5577150313,4/18/2016,1,527,553,8.783333333
5577150313_2016-04-19,5577150313,4/19/2016,1,449,465,7.483333333
5577150313_2016-04-20,5577150313,4/20/2016,1,447,480,7.45
5577150313_2016-04-21,5577150313,4/21/2016,1,414,437,6.9
5577150313_2016-04-22,5577150313,4/22/2016,1,338,366,5.633333333
5577150313_2016-04-23,5577150313,4/23/2016,1,384,402,6.4
5577150313_2016-04-24,5577150313,4/24/2016,1,543,615,9.05
5577150313_2016-04-25,5577150313,4/25/2016,1,421,461,7.016666667
5577150313_2016-04-26,5577150313,4/26/2016,1,354,377,5.9
5577150313_2016-04-27,5577150313,4/27/2016,1,424,452,7.066666667
5577150313_2016-04-28,5577150313,4/28/2016,1,361,372,6.016666667
5577150313_2016-04-29,5577150313,4/29/2016,1,459,485,7.65
5577150313_2016-04-30,5577150313,4/30/2016,1,412,433,6.866666667
5577150313_2016-05-01,5577150313,5/1/2016,1,379,398,6.316666667
5577150313_2016-05-02,5577150313,5/2/2016,2,525,553,8.75
5577150313_2016-05-03,5577150313,5/3/2016,1,508,543,8.466666667
5577150313_2016-05-04,5577150313,5/4/2016,1,603,634,10.05
5577150313_2016-05-05,5577150313,5/5/2016,1,74,78,1.233333333
5577150313_2016-05-10,5577150313,5/10/2016,1,504,562,8.4
5577150313_2016-05-11,5577150313,5/11/2016,1,431,476,7.183333333
6117666160_2016-04-16,6117666160,4/16/2016,1,380,398,6.333333333
6117666160_2016-04-17,6117666160,4/17/2016,2,336,350,5.6
6117666160_2016-04-18,6117666160,4/18/2016,2,493,510,8.216666667
6117666160_2016-04-19,6117666160,4/19/2016,1,465,492,7.75
6117666160_2016-04-20,6117666160,4/20/2016,1,474,502,7.9
6117666160_2016-04-21,6117666160,4/21/2016,1,508,550,8.466666667
6117666160_2016-04-22,6117666160,4/22/2016,1,480,546,8
6117666160_2016-04-23,6117666160,4/23/2016,1,492,539,8.2
6117666160_2016-04-24,6117666160,4/24/2016,1,353,367,5.883333333
6117666160_2016-04-27,6117666160,4/27/2016,1,542,557,9.033333333
6117666160_2016-04-28,6117666160,4/28/2016,1,393,416,6.55
6117666160_2016-04-29,6117666160,4/29/2016,1,600,636,10
6117666160_2016-05-01,6117666160,5/1/2016,1,507,575,8.45
6117666160_2016-05-05,6117666160,5/5/2016,1,392,415,6.533333333
6117666160_2016-05-06,6117666160,5/6/2016,2,658,698,10.96666667
6117666160_2016-05-07,6117666160,5/7/2016,2,498,507,8.3
6117666160_2016-05-08,6117666160,5/8/2016,1,555,603,9.25
6117666160_2016-05-09,6117666160,5/9/2016,1,492,522,8.2
6775888955_2016-04-13,6775888955,4/13/2016,1,235,260,3.916666667
6775888955_2016-04-14,6775888955,4/14/2016,1,423,441,7.05
6775888955_2016-04-15,6775888955,4/15/2016,1,391,406,6.516666667
6962181067_2016-04-12,6962181067,4/12/2016,1,366,387,6.1
6962181067_2016-04-13,6962181067,4/13/2016,3,630,679,10.5
6962181067_2016-04-14,6962181067,4/14/2016,2,508,535,8.466666667
6962181067_2016-04-15,6962181067,4/15/2016,1,370,386,6.166666667
6962181067_2016-04-16,6962181067,4/16/2016,1,357,366,5.95
6962181067_2016-04-17,6962181067,4/17/2016,1,427,446,7.116666667
6962181067_2016-04-18,6962181067,4/18/2016,1,442,458,7.366666667
6962181067_2016-04-19,6962181067,4/19/2016,1,476,535,7.933333333
6962181067_2016-04-20,6962181067,4/20/2016,1,418,424,6.966666667
6962181067_2016-04-21,6962181067,4/21/2016,1,451,457,7.516666667
6962181067_2016-04-22,6962181067,4/22/2016,1,425,435,7.083333333
6962181067_2016-04-23,6962181067,4/23/2016,1,528,546,8.8
6962181067_2016-04-24,6962181067,4/24/2016,1,511,514,8.516666667
6962181067_2016-04-25,6962181067,4/25/2016,1,400,415,6.666666667
6962181067_2016-04-26,6962181067,4/26/2016,1,441,446,7.35
6962181067_2016-04-27,6962181067,4/27/2016,1,455,467,7.583333333
6962181067_2016-04-28,6962181067,4/28/2016,1,440,453,7.333333333
6962181067_2016-04-29,6962181067,4/29/2016,1,433,447,7.216666667
6962181067_2016-04-30,6962181067,4/30/2016,1,422,424,7.033333333
6962181067_2016-05-01,6962181067,5/1/2016,1,411,426,6.85
6962181067_2016-05-02,6962181067,5/2/2016,1,466,482,7.766666667
6962181067_2016-05-03,6962181067,5/3/2016,1,394,418,6.566666667
6962181067_2016-05-04,6962181067,5/4/2016,1,442,455,7.366666667
6962181067_2016-05-05,6962181067,5/5/2016,1,467,491,7.783333333
6962181067_2016-05-06,6962181067,5/6/2016,1,443,462,7.383333333
6962181067_2016-05-07,6962181067,5/7/2016,1,298,334,4.966666667
6962181067_2016-05-08,6962181067,5/8/2016,1,541,569,9.016666667
6962181067_2016-05-09,6962181067,5/9/2016,1,489,497,8.15
6962181067_2016-05-10,6962181067,5/10/2016,1,469,481,7.816666667
6962181067_2016-05-11,6962181067,5/11/2016,1,452,480,7.533333333
6962181067_2016-05-12,6962181067,5/12/2016,1,516,535,8.6
7007744171_2016-04-16,7007744171,4/16/2016,1,79,82,1.316666667
7007744171_2016-05-01,7007744171,5/1/2016,1,58,61,0.9666666667
7086361926_2016-04-12,7086361926,4/12/2016,1,514,525,8.566666667
7086361926_2016-04-13,7086361926,4/13/2016,1,451,465,7.516666667
7086361926_2016-04-14,7086361926,4/14/2016,1,472,476,7.866666667
7086361926_2016-04-15,7086361926,4/15/2016,1,377,386,6.283333333
7086361926_2016-04-19,7086361926,4/19/2016,1,472,483,7.866666667
7086361926_2016-04-20,7086361926,4/20/2016,1,492,502,8.2
7086361926_2016-04-21,7086361926,4/21/2016,1,390,411,6.5
7086361926_2016-04-22,7086361926,4/22/2016,1,428,448,7.133333333
7086361926_2016-04-24,7086361926,4/24/2016,1,681,704,11.35
7086361926_2016-04-25,7086361926,4/25/2016,1,446,447,7.433333333
7086361926_2016-04-26,7086361926,4/26/2016,1,485,500,8.083333333
7086361926_2016-04-27,7086361926,4/27/2016,1,469,479,7.816666667
7086361926_2016-04-28,7086361926,4/28/2016,1,354,367,5.9
7086361926_2016-04-30,7086361926,4/30/2016,1,485,489,8.083333333
7086361926_2016-05-01,7086361926,5/1/2016,1,388,407,6.466666667
7086361926_2016-05-02,7086361926,5/2/2016,1,440,459,7.333333333
7086361926_2016-05-03,7086361926,5/3/2016,1,456,461,7.6
7086361926_2016-05-04,7086361926,5/4/2016,1,420,436,7
7086361926_2016-05-06,7086361926,5/6/2016,1,322,333,5.366666667
7086361926_2016-05-07,7086361926,5/7/2016,1,530,548,8.833333333
7086361926_2016-05-08,7086361926,5/8/2016,1,481,510,8.016666667
7086361926_2016-05-09,7086361926,5/9/2016,1,427,438,7.116666667
7086361926_2016-05-11,7086361926,5/11/2016,1,451,463,7.516666667
7086361926_2016-05-12,7086361926,5/12/2016,1,444,457,7.4
8053475328_2016-04-20,8053475328,4/20/2016,1,486,493,8.1
8053475328_2016-04-23,8053475328,4/23/2016,1,331,337,5.516666667
8053475328_2016-05-07,8053475328,5/7/2016,1,74,75,1.233333333
8378563200_2016-04-12,8378563200,4/12/2016,1,338,356,5.633333333
8378563200_2016-04-13,8378563200,4/13/2016,2,447,487,7.45
8378563200_2016-04-14,8378563200,4/14/2016,1,424,455,7.066666667
8378563200_2016-04-15,8378563200,4/15/2016,1,513,533,8.55
8378563200_2016-04-16,8378563200,4/16/2016,2,611,689,10.18333333
8378563200_2016-04-17,8378563200,4/17/2016,2,525,591,8.75
8378563200_2016-04-18,8378563200,4/18/2016,1,398,451,6.633333333
8378563200_2016-04-19,8378563200,4/19/2016,1,387,421,6.45
8378563200_2016-04-20,8378563200,4/20/2016,1,381,409,6.35
8378563200_2016-04-21,8378563200,4/21/2016,1,396,417,6.6
8378563200_2016-04-22,8378563200,4/22/2016,1,441,469,7.35
8378563200_2016-04-23,8378563200,4/23/2016,1,565,591,9.416666667
8378563200_2016-04-24,8378563200,4/24/2016,1,458,492,7.633333333
8378563200_2016-04-25,8378563200,4/25/2016,1,388,402,6.466666667
8378563200_2016-04-25,8378563200,4/25/2016,1,388,402,6.466666667
8378563200_2016-04-26,8378563200,4/26/2016,1,550,584,9.166666667
8378563200_2016-04-27,8378563200,4/27/2016,1,531,600,8.85
8378563200_2016-04-28,8378563200,4/28/2016,1,506,556,8.433333333
8378563200_2016-04-29,8378563200,4/29/2016,1,527,562,8.783333333
8378563200_2016-04-30,8378563200,4/30/2016,1,468,555,7.8
8378563200_2016-05-01,8378563200,5/1/2016,1,475,539,7.916666667
8378563200_2016-05-02,8378563200,5/2/2016,1,351,385,5.85
8378563200_2016-05-03,8378563200,5/3/2016,1,405,429,6.75
8378563200_2016-05-04,8378563200,5/4/2016,1,441,477,7.35
8378563200_2016-05-05,8378563200,5/5/2016,1,381,417,6.35
8378563200_2016-05-06,8378563200,5/6/2016,1,323,355,5.383333333
8378563200_2016-05-07,8378563200,5/7/2016,2,459,513,7.65
