"merge_key","id","date","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","TotalHoursAsleep","day_of_week","weekday"
"3977333714_2016-04-24",3977333714,NA,1,310,526,5.166666667,"Sun",NA
"3977333714_2016-04-25",3977333714,NA,1,262,467,4.366666667,"Mon",NA
"3977333714_2016-04-26",3977333714,NA,1,250,371,4.166666667,"Tue",NA
"3977333714_2016-04-27",3977333714,NA,1,349,540,5.816666667,"Wed",NA
"3977333714_2016-04-28",3977333714,NA,1,261,423,4.35,"Thu",NA
"3977333714_2016-04-29",3977333714,NA,1,333,478,5.55,"Fri",NA
"3977333714_2016-04-30",3977333714,NA,1,237,382,3.95,"Sat",NA
"3977333714_2016-05-01",3977333714,NA,1,383,626,6.383333333,"Sun",NA
"3977333714_2016-05-02",3977333714,NA,1,230,384,3.833333333,"Mon",NA
"3977333714_2016-05-03",3977333714,NA,1,292,500,4.866666667,"Tue",NA
"3977333714_2016-05-04",3977333714,NA,1,213,336,3.55,"Wed",NA
"3977333714_2016-05-05",3977333714,NA,1,318,480,5.3,"Thu",NA
"3977333714_2016-05-06",3977333714,NA,1,323,512,5.383333333,"Fri",NA
"3977333714_2016-05-07",3977333714,NA,1,237,443,3.95,"Sat",NA
"3977333714_2016-05-08",3977333714,NA,2,259,456,4.316666667,"Sun",NA
"3977333714_2016-05-10",3977333714,NA,1,312,452,5.2,"Tue",NA
"4020332650_2016-04-12",4020332650,NA,1,501,541,8.35,"Tue",NA
"4020332650_2016-04-16",4020332650,NA,1,77,77,1.283333333,"Sat",NA
"4020332650_2016-05-03",4020332650,NA,1,322,332,5.366666667,"Tue",NA
"4020332650_2016-05-04",4020332650,NA,1,478,536,7.966666667,"Wed",NA
"4020332650_2016-05-05",4020332650,NA,1,226,248,3.766666667,"Thu",NA
"4020332650_2016-05-06",4020332650,NA,1,385,408,6.416666667,"Fri",NA
"4020332650_2016-05-08",4020332650,NA,1,364,402,6.066666667,"Sun",NA
"4020332650_2016-05-10",4020332650,NA,1,442,494,7.366666667,"Tue",NA
"4319703577_2016-04-14",4319703577,NA,1,535,557,8.916666667,"Thu",NA
"4319703577_2016-04-15",4319703577,NA,1,465,491,7.75,"Fri",NA
"4319703577_2016-04-16",4319703577,NA,1,506,522,8.433333333,"Sat",NA
"4319703577_2016-04-18",4319703577,NA,1,515,551,8.583333333,"Mon",NA
"4319703577_2016-04-19",4319703577,NA,2,461,498,7.683333333,"Tue",NA
"4319703577_2016-04-20",4319703577,NA,1,523,543,8.716666667,"Wed",NA
"4319703577_2016-04-21",4319703577,NA,1,59,65,0.9833333333,"Thu",NA
"4319703577_2016-04-22",4319703577,NA,1,533,550,8.883333333,"Fri",NA
"4319703577_2016-04-23",4319703577,NA,1,692,722,11.53333333,"Sat",NA
"4319703577_2016-04-24",4319703577,NA,1,467,501,7.783333333,"Sun",NA
"4319703577_2016-04-25",4319703577,NA,1,488,506,8.133333333,"Mon",NA
"4319703577_2016-04-26",4319703577,NA,1,505,516,8.416666667,"Tue",NA
"4319703577_2016-04-27",4319703577,NA,1,286,307,4.766666667,"Wed",NA
"4319703577_2016-04-28",4319703577,NA,1,497,522,8.283333333,"Thu",NA
"4319703577_2016-04-29",4319703577,NA,1,523,546,8.716666667,"Fri",NA
"4319703577_2016-04-30",4319703577,NA,1,490,516,8.166666667,"Sat",NA
"4319703577_2016-05-01",4319703577,NA,1,484,500,8.066666667,"Sun",NA
"4319703577_2016-05-02",4319703577,NA,1,478,506,7.966666667,"Mon",NA
"4319703577_2016-05-03",4319703577,NA,1,474,512,7.9,"Tue",NA
"4319703577_2016-05-06",4319703577,NA,1,450,491,7.5,"Fri",NA
"4319703577_2016-05-07",4319703577,NA,1,507,530,8.45,"Sat",NA
"4319703577_2016-05-08",4319703577,NA,1,602,638,10.03333333,"Sun",NA
"4319703577_2016-05-09",4319703577,NA,1,535,565,8.916666667,"Mon",NA
"4319703577_2016-05-10",4319703577,NA,1,487,517,8.116666667,"Tue",NA
"4319703577_2016-05-11",4319703577,NA,1,529,558,8.816666667,"Wed",NA
"4319703577_2016-05-12",4319703577,NA,1,302,321,5.033333333,"Thu",NA
"4388161847_2016-04-15",4388161847,NA,1,499,526,8.316666667,"Fri",NA
"4388161847_2016-04-16",4388161847,NA,2,426,448,7.1,"Sat",NA
"4388161847_2016-04-17",4388161847,NA,2,619,641,10.31666667,"Sun",NA
"4388161847_2016-04-18",4388161847,NA,1,99,104,1.65,"Mon",NA
"4388161847_2016-04-19",4388161847,NA,1,329,338,5.483333333,"Tue",NA
"4388161847_2016-04-20",4388161847,NA,1,421,451,7.016666667,"Wed",NA
"4388161847_2016-04-21",4388161847,NA,1,442,458,7.366666667,"Thu",NA
"4388161847_2016-04-22",4388161847,NA,1,82,85,1.366666667,"Fri",NA
"4388161847_2016-04-23",4388161847,NA,1,478,501,7.966666667,"Sat",NA
"4388161847_2016-04-24",4388161847,NA,3,552,595,9.2,"Sun",NA
"4388161847_2016-04-26",4388161847,NA,1,319,346,5.316666667,"Tue",NA
"4388161847_2016-04-27",4388161847,NA,1,439,500,7.316666667,"Wed",NA
"4388161847_2016-04-28",4388161847,NA,1,428,458,7.133333333,"Thu",NA
"4388161847_2016-04-30",4388161847,NA,2,409,430,6.816666667,"Sat",NA
"4388161847_2016-05-01",4388161847,NA,1,547,597,9.116666667,"Sun",NA
"4388161847_2016-05-02",4388161847,NA,2,368,376,6.133333333,"Mon",NA
"4388161847_2016-05-04",4388161847,NA,1,390,414,6.5,"Wed",NA
"4388161847_2016-05-05",4388161847,NA,1,471,495,7.85,"Thu",NA
"4388161847_2016-05-05",4388161847,NA,1,471,495,7.85,"Thu",NA
"4388161847_2016-05-07",4388161847,NA,1,472,496,7.866666667,"Sat",NA
"4388161847_2016-05-08",4388161847,NA,2,529,541,8.816666667,"Sun",NA
"4388161847_2016-05-09",4388161847,NA,1,62,65,1.033333333,"Mon",NA
"4388161847_2016-05-10",4388161847,NA,1,354,375,5.9,"Tue",NA
"4388161847_2016-05-11",4388161847,NA,1,469,494,7.816666667,"Wed",NA
"4445114986_2016-04-12",4445114986,NA,2,429,457,7.15,"Tue",NA
"4445114986_2016-04-13",4445114986,NA,2,370,406,6.166666667,"Wed",NA
"4445114986_2016-04-14",4445114986,NA,1,441,492,7.35,"Thu",NA
"4445114986_2016-04-15",4445114986,NA,2,337,379,5.616666667,"Fri",NA
"4445114986_2016-04-16",4445114986,NA,1,462,499,7.7,"Sat",NA
"4445114986_2016-04-17",4445114986,NA,1,98,107,1.633333333,"Sun",NA
"4445114986_2016-04-19",4445114986,NA,2,388,424,6.466666667,"Tue",NA
"4445114986_2016-04-20",4445114986,NA,1,439,462,7.316666667,"Wed",NA
"4445114986_2016-04-21",4445114986,NA,1,436,469,7.266666667,"Thu",NA
"4445114986_2016-04-22",4445114986,NA,1,388,417,6.466666667,"Fri",NA
"4445114986_2016-04-25",4445114986,NA,1,328,345,5.466666667,"Mon",NA
"4445114986_2016-04-26",4445114986,NA,2,353,391,5.883333333,"Tue",NA
"4445114986_2016-04-27",4445114986,NA,1,332,374,5.533333333,"Wed",NA
"4445114986_2016-04-28",4445114986,NA,1,419,442,6.983333333,"Thu",NA
"4445114986_2016-04-29",4445114986,NA,1,106,108,1.766666667,"Fri",NA
"4445114986_2016-04-30",4445114986,NA,1,322,353,5.366666667,"Sat",NA
"4445114986_2016-05-01",4445114986,NA,2,439,459,7.316666667,"Sun",NA
"4445114986_2016-05-02",4445114986,NA,1,502,542,8.366666667,"Mon",NA
"4445114986_2016-05-03",4445114986,NA,2,417,450,6.95,"Tue",NA
"4445114986_2016-05-04",4445114986,NA,2,337,363,5.616666667,"Wed",NA
"4445114986_2016-05-05",4445114986,NA,2,462,513,7.7,"Thu",NA
"4445114986_2016-05-06",4445114986,NA,2,374,402,6.233333333,"Fri",NA
"4445114986_2016-05-07",4445114986,NA,2,401,436,6.683333333,"Sat",NA
"4445114986_2016-05-08",4445114986,NA,1,361,391,6.016666667,"Sun",NA
"4445114986_2016-05-09",4445114986,NA,1,457,533,7.616666667,"Mon",NA
"4445114986_2016-05-10",4445114986,NA,1,405,426,6.75,"Tue",NA
"4445114986_2016-05-11",4445114986,NA,1,499,530,8.316666667,"Wed",NA
"4445114986_2016-05-12",4445114986,NA,1,483,501,8.05,"Thu",NA
"4558609924_2016-04-21",4558609924,NA,1,126,137,2.1,"Thu",NA
"4558609924_2016-04-26",4558609924,NA,1,103,121,1.716666667,"Tue",NA
"4558609924_2016-04-29",4558609924,NA,1,171,179,2.85,"Fri",NA
"4558609924_2016-05-01",4558609924,NA,1,115,129,1.916666667,"Sun",NA
"4558609924_2016-05-08",4558609924,NA,1,123,134,2.05,"Sun",NA
"4702921684_2016-04-12",4702921684,NA,1,425,439,7.083333333,"Tue",NA
"4702921684_2016-04-13",4702921684,NA,2,400,430,6.666666667,"Wed",NA
"4702921684_2016-04-14",4702921684,NA,1,384,415,6.4,"Thu",NA
"4702921684_2016-04-15",4702921684,NA,1,253,257,4.216666667,"Fri",NA
"4702921684_2016-04-16",4702921684,NA,2,382,406,6.366666667,"Sat",NA
"4702921684_2016-04-17",4702921684,NA,1,591,612,9.85,"Sun",NA
"4702921684_2016-04-18",4702921684,NA,1,293,312,4.883333333,"Mon",NA
"4702921684_2016-04-19",4702921684,NA,1,457,487,7.616666667,"Tue",NA
"4702921684_2016-04-20",4702921684,NA,1,454,468,7.566666667,"Wed",NA
"4702921684_2016-04-21",4702921684,NA,1,425,434,7.083333333,"Thu",NA
"4702921684_2016-04-23",4702921684,NA,1,465,475,7.75,"Sat",NA
"4702921684_2016-04-24",4702921684,NA,1,480,506,8,"Sun",NA
"4702921684_2016-04-25",4702921684,NA,1,370,380,6.166666667,"Mon",NA
"4702921684_2016-04-26",4702921684,NA,1,421,429,7.016666667,"Tue",NA
"4702921684_2016-04-27",4702921684,NA,1,432,449,7.2,"Wed",NA
"4702921684_2016-04-28",4702921684,NA,1,442,461,7.366666667,"Thu",NA
"4702921684_2016-04-29",4702921684,NA,1,433,447,7.216666667,"Fri",NA
"4702921684_2016-04-30",4702921684,NA,1,479,501,7.983333333,"Sat",NA
"4702921684_2016-05-03",4702921684,NA,1,327,373,5.45,"Tue",NA
"4702921684_2016-05-04",4702921684,NA,1,412,434,6.866666667,"Wed",NA
"4702921684_2016-05-05",4702921684,NA,1,414,428,6.9,"Thu",NA
"4702921684_2016-05-06",4702921684,NA,1,404,449,6.733333333,"Fri",NA
"4702921684_2016-05-07",4702921684,NA,1,520,543,8.666666667,"Sat",NA
"4702921684_2016-05-07",4702921684,NA,1,520,543,8.666666667,"Sat",NA
"4702921684_2016-05-09",4702921684,NA,1,435,458,7.25,"Mon",NA
"4702921684_2016-05-10",4702921684,NA,1,416,431,6.933333333,"Tue",NA
"4702921684_2016-05-11",4702921684,NA,1,354,366,5.9,"Wed",NA
"4702921684_2016-05-12",4702921684,NA,1,404,442,6.733333333,"Thu",NA
"5553957443_2016-04-12",5553957443,NA,1,441,464,7.35,"Tue",NA
"5553957443_2016-04-13",5553957443,NA,2,455,488,7.583333333,"Wed",NA
"5553957443_2016-04-14",5553957443,NA,1,357,418,5.95,"Thu",NA
"5553957443_2016-04-15",5553957443,NA,1,377,409,6.283333333,"Fri",NA
"5553957443_2016-04-16",5553957443,NA,2,651,686,10.85,"Sat",NA
"5553957443_2016-04-17",5553957443,NA,1,350,402,5.833333333,"Sun",NA
"5553957443_2016-04-18",5553957443,NA,2,520,541,8.666666667,"Mon",NA
"5553957443_2016-04-19",5553957443,NA,1,357,410,5.95,"Tue",NA
"5553957443_2016-04-20",5553957443,NA,1,658,678,10.96666667,"Wed",NA
"5553957443_2016-04-21",5553957443,NA,1,399,431,6.65,"Thu",NA
"5553957443_2016-04-22",5553957443,NA,1,322,353,5.366666667,"Fri",NA
"5553957443_2016-04-23",5553957443,NA,2,631,725,10.51666667,"Sat",NA
"5553957443_2016-04-24",5553957443,NA,2,553,640,9.216666667,"Sun",NA
"5553957443_2016-04-25",5553957443,NA,1,433,468,7.216666667,"Mon",NA
"5553957443_2016-04-26",5553957443,NA,1,412,453,6.866666667,"Tue",NA
"5553957443_2016-04-27",5553957443,NA,1,347,391,5.783333333,"Wed",NA
"5553957443_2016-04-28",5553957443,NA,1,421,457,7.016666667,"Thu",NA
"5553957443_2016-04-29",5553957443,NA,1,450,495,7.5,"Fri",NA
"5553957443_2016-04-30",5553957443,NA,2,775,843,12.91666667,"Sat",NA
"5553957443_2016-05-01",5553957443,NA,2,622,686,10.36666667,"Sun",NA
"5553957443_2016-05-02",5553957443,NA,1,409,471,6.816666667,"Mon",NA
"5553957443_2016-05-03",5553957443,NA,1,380,429,6.333333333,"Tue",NA
"5553957443_2016-05-04",5553957443,NA,1,447,470,7.45,"Wed",NA
"5553957443_2016-05-05",5553957443,NA,1,419,464,6.983333333,"Thu",NA
"5553957443_2016-05-06",5553957443,NA,1,400,434,6.666666667,"Fri",NA
"5553957443_2016-05-07",5553957443,NA,1,442,470,7.366666667,"Sat",NA
"5553957443_2016-05-08",5553957443,NA,1,568,608,9.466666667,"Sun",NA
"5553957443_2016-05-09",5553957443,NA,1,453,494,7.55,"Mon",NA
"5553957443_2016-05-10",5553957443,NA,1,418,443,6.966666667,"Tue",NA
"5553957443_2016-05-11",5553957443,NA,1,463,486,7.716666667,"Wed",NA
"5553957443_2016-05-12",5553957443,NA,1,438,475,7.3,"Thu",NA
"5577150313_2016-04-12",5577150313,NA,1,419,438,6.983333333,"Tue",NA
"5577150313_2016-04-13",5577150313,NA,1,432,458,7.2,"Wed",NA
"5577150313_2016-04-14",5577150313,NA,1,477,497,7.95,"Thu",NA
"5577150313_2016-04-15",5577150313,NA,1,392,413,6.533333333,"Fri",NA
"5577150313_2016-04-16",5577150313,NA,1,406,445,6.766666667,"Sat",NA
"5577150313_2016-04-17",5577150313,NA,1,549,583,9.15,"Sun",NA
"5577150313_2016-04-18",5577150313,NA,1,527,553,8.783333333,"Mon",NA
"5577150313_2016-04-19",5577150313,NA,1,449,465,7.483333333,"Tue",NA
"5577150313_2016-04-20",5577150313,NA,1,447,480,7.45,"Wed",NA
"5577150313_2016-04-21",5577150313,NA,1,414,437,6.9,"Thu",NA
"5577150313_2016-04-22",5577150313,NA,1,338,366,5.633333333,"Fri",NA
"5577150313_2016-04-23",5577150313,NA,1,384,402,6.4,"Sat",NA
"5577150313_2016-04-24",5577150313,NA,1,543,615,9.05,"Sun",NA
"5577150313_2016-04-25",5577150313,NA,1,421,461,7.016666667,"Mon",NA
"5577150313_2016-04-26",5577150313,NA,1,354,377,5.9,"Tue",NA
"5577150313_2016-04-27",5577150313,NA,1,424,452,7.066666667,"Wed",NA
"5577150313_2016-04-28",5577150313,NA,1,361,372,6.016666667,"Thu",NA
"5577150313_2016-04-29",5577150313,NA,1,459,485,7.65,"Fri",NA
"5577150313_2016-04-30",5577150313,NA,1,412,433,6.866666667,"Sat",NA
"5577150313_2016-05-01",5577150313,NA,1,379,398,6.316666667,"Sun",NA
"5577150313_2016-05-02",5577150313,NA,2,525,553,8.75,"Mon",NA
"5577150313_2016-05-03",5577150313,NA,1,508,543,8.466666667,"Tue",NA
"5577150313_2016-05-04",5577150313,NA,1,603,634,10.05,"Wed",NA
"5577150313_2016-05-05",5577150313,NA,1,74,78,1.233333333,"Thu",NA
"5577150313_2016-05-10",5577150313,NA,1,504,562,8.4,"Tue",NA
"5577150313_2016-05-11",5577150313,NA,1,431,476,7.183333333,"Wed",NA
"6117666160_2016-04-16",6117666160,NA,1,380,398,6.333333333,"Sat",NA
"6117666160_2016-04-17",6117666160,NA,2,336,350,5.6,"Sun",NA
"6117666160_2016-04-18",6117666160,NA,2,493,510,8.216666667,"Mon",NA
"6117666160_2016-04-19",6117666160,NA,1,465,492,7.75,"Tue",NA
"6117666160_2016-04-20",6117666160,NA,1,474,502,7.9,"Wed",NA
"6117666160_2016-04-21",6117666160,NA,1,508,550,8.466666667,"Thu",NA
"6117666160_2016-04-22",6117666160,NA,1,480,546,8,"Fri",NA
"6117666160_2016-04-23",6117666160,NA,1,492,539,8.2,"Sat",NA
"6117666160_2016-04-24",6117666160,NA,1,353,367,5.883333333,"Sun",NA
"6117666160_2016-04-27",6117666160,NA,1,542,557,9.033333333,"Wed",NA
"6117666160_2016-04-28",6117666160,NA,1,393,416,6.55,"Thu",NA
"6117666160_2016-04-29",6117666160,NA,1,600,636,10,"Fri",NA
"6117666160_2016-05-01",6117666160,NA,1,507,575,8.45,"Sun",NA
"6117666160_2016-05-05",6117666160,NA,1,392,415,6.533333333,"Thu",NA
"6117666160_2016-05-06",6117666160,NA,2,658,698,10.96666667,"Fri",NA
"6117666160_2016-05-07",6117666160,NA,2,498,507,8.3,"Sat",NA
"6117666160_2016-05-08",6117666160,NA,1,555,603,9.25,"Sun",NA
"6117666160_2016-05-09",6117666160,NA,1,492,522,8.2,"Mon",NA
"6775888955_2016-04-13",6775888955,NA,1,235,260,3.916666667,"Wed",NA
"6775888955_2016-04-14",6775888955,NA,1,423,441,7.05,"Thu",NA
"6775888955_2016-04-15",6775888955,NA,1,391,406,6.516666667,"Fri",NA
"6962181067_2016-04-12",6962181067,NA,1,366,387,6.1,"Tue",NA
"6962181067_2016-04-13",6962181067,NA,3,630,679,10.5,"Wed",NA
"6962181067_2016-04-14",6962181067,NA,2,508,535,8.466666667,"Thu",NA
"6962181067_2016-04-15",6962181067,NA,1,370,386,6.166666667,"Fri",NA
"6962181067_2016-04-16",6962181067,NA,1,357,366,5.95,"Sat",NA
"6962181067_2016-04-17",6962181067,NA,1,427,446,7.116666667,"Sun",NA
"6962181067_2016-04-18",6962181067,NA,1,442,458,7.366666667,"Mon",NA
"6962181067_2016-04-19",6962181067,NA,1,476,535,7.933333333,"Tue",NA
"6962181067_2016-04-20",6962181067,NA,1,418,424,6.966666667,"Wed",NA
"6962181067_2016-04-21",6962181067,NA,1,451,457,7.516666667,"Thu",NA
"6962181067_2016-04-22",6962181067,NA,1,425,435,7.083333333,"Fri",NA
"6962181067_2016-04-23",6962181067,NA,1,528,546,8.8,"Sat",NA
"6962181067_2016-04-24",6962181067,NA,1,511,514,8.516666667,"Sun",NA
"6962181067_2016-04-25",6962181067,NA,1,400,415,6.666666667,"Mon",NA
"6962181067_2016-04-26",6962181067,NA,1,441,446,7.35,"Tue",NA
"6962181067_2016-04-27",6962181067,NA,1,455,467,7.583333333,"Wed",NA
"6962181067_2016-04-28",6962181067,NA,1,440,453,7.333333333,"Thu",NA
"6962181067_2016-04-29",6962181067,NA,1,433,447,7.216666667,"Fri",NA
"6962181067_2016-04-30",6962181067,NA,1,422,424,7.033333333,"Sat",NA
"6962181067_2016-05-01",6962181067,NA,1,411,426,6.85,"Sun",NA
"6962181067_2016-05-02",6962181067,NA,1,466,482,7.766666667,"Mon",NA
"6962181067_2016-05-03",6962181067,NA,1,394,418,6.566666667,"Tue",NA
"6962181067_2016-05-04",6962181067,NA,1,442,455,7.366666667,"Wed",NA
"6962181067_2016-05-05",6962181067,NA,1,467,491,7.783333333,"Thu",NA
"6962181067_2016-05-06",6962181067,NA,1,443,462,7.383333333,"Fri",NA
"6962181067_2016-05-07",6962181067,NA,1,298,334,4.966666667,"Sat",NA
"6962181067_2016-05-08",6962181067,NA,1,541,569,9.016666667,"Sun",NA
"6962181067_2016-05-09",6962181067,NA,1,489,497,8.15,"Mon",NA
"6962181067_2016-05-10",6962181067,NA,1,469,481,7.816666667,"Tue",NA
"6962181067_2016-05-11",6962181067,NA,1,452,480,7.533333333,"Wed",NA
"6962181067_2016-05-12",6962181067,NA,1,516,535,8.6,"Thu",NA
"7007744171_2016-04-16",7007744171,NA,1,79,82,1.316666667,"Sat",NA
"7007744171_2016-05-01",7007744171,NA,1,58,61,0.9666666667,"Sun",NA
"7086361926_2016-04-12",7086361926,NA,1,514,525,8.566666667,"Tue",NA
"7086361926_2016-04-13",7086361926,NA,1,451,465,7.516666667,"Wed",NA
"7086361926_2016-04-14",7086361926,NA,1,472,476,7.866666667,"Thu",NA
"7086361926_2016-04-15",7086361926,NA,1,377,386,6.283333333,"Fri",NA
